level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1241	1755	-1	
2	1	1	0	0	0	882	114	244	245	-1	
3	1	1	1	0	0	882	114	244	245	-1	
4	1	1	1	1	0	882	114	244	245	-1	
5	1	1	1	1	1	882	114	244	245	95.000000	 
2	1	2	0	0	0	641	420	482	24	-1	
3	1	2	1	0	0	641	420	482	24	-1	
4	1	2	1	1	0	641	420	482	24	-1	
5	1	2	1	1	1	641	421	18	18	93.136742	M
5	1	2	1	1	2	667	421	70	23	96.630371	Taylor,
5	1	2	1	1	3	747	421	95	23	97.012428	delegate
5	1	2	1	1	4	851	420	21	19	96.807854	of
5	1	2	1	1	5	878	421	33	18	96.807854	the
5	1	2	1	1	6	921	421	93	23	96.696159	Principal
5	1	2	1	1	7	1024	421	99	23	96.411713	Registrar
2	1	3	0	0	0	1008	1660	115	22	-1	
3	1	3	1	0	0	1008	1660	115	22	-1	
4	1	3	1	1	0	1008	1660	115	22	-1	
5	1	3	1	1	1	1008	1661	51	21	96.387566	Page
5	1	3	1	1	2	1067	1661	11	16	96.993263	2
5	1	3	1	1	3	1086	1660	19	18	95.592865	of
5	1	3	1	1	4	1112	1661	11	16	95.592865	2
