level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1241	1754	-1	
2	1	1	0	0	0	83	88	1158	599	-1	
3	1	1	1	0	0	85	88	120	22	-1	
4	1	1	1	1	0	85	88	120	22	-1	
5	1	1	1	1	1	85	88	48	17	96.999031	Dear
5	1	1	1	1	2	140	88	65	22	96.764778	Sylvia,
3	1	1	2	0	0	83	142	691	23	-1	
4	1	1	2	1	0	83	142	691	23	-1	
5	1	1	2	1	1	83	143	63	17	96.571869	Thank
5	1	1	2	1	2	154	147	35	18	96.571869	you
5	1	1	2	1	3	197	143	26	17	96.535942	for
5	1	1	2	1	4	231	147	43	18	96.979019	your
5	1	1	2	1	5	282	147	92	17	96.519417	response
5	1	1	2	1	6	382	142	55	18	96.197495	dated
5	1	1	2	1	7	447	142	67	22	96.595146	Friday,
5	1	1	2	1	8	523	143	11	17	96.595146	6
5	1	1	2	1	9	541	142	48	18	96.902390	June
5	1	1	2	1	10	598	143	49	17	96.681450	2025
5	1	1	2	1	11	655	144	18	16	96.899887	at
5	1	1	2	1	12	682	143	92	17	96.778671	11:50am.
3	1	1	3	0	0	84	197	1157	188	-1	
4	1	1	3	1	0	84	197	1150	23	-1	
5	1	1	3	1	1	84	198	25	17	96.938004	As
5	1	1	3	1	2	117	198	30	17	96.938004	the
5	1	1	3	1	3	155	198	76	22	96.968880	primary
5	1	1	3	1	4	239	198	79	17	96.756363	resident
5	1	1	3	1	5	326	197	18	18	96.756363	of
5	1	1	3	1	6	351	197	31	18	96.984062	the
5	1	1	3	1	7	390	199	83	20	96.772644	property
5	1	1	3	1	8	480	197	41	18	97.002327	who
5	1	1	3	1	9	530	197	34	18	96.884628	has
5	1	1	3	1	10	573	197	44	18	96.826286	lived
5	1	1	3	1	11	625	197	76	22	96.393867	through
5	1	1	3	1	12	709	197	64	18	96.962715	weeks
5	1	1	3	1	13	781	198	18	17	96.655899	of
5	1	1	3	1	14	807	197	110	18	96.336456	unresolved
5	1	1	3	1	15	925	199	55	15	96.336456	water
5	1	1	3	1	16	987	197	87	22	96.201271	damage,
5	1	1	3	1	17	1085	197	2	17	95.787628	|
5	1	1	3	1	18	1097	199	47	15	96.616402	must
5	1	1	3	1	19	1153	197	81	17	96.789970	reiterate
4	1	1	3	2	0	85	252	1156	23	-1	
5	1	1	3	2	1	85	253	64	22	96.241791	Firstly,
5	1	1	3	2	2	157	257	45	18	96.241791	your
5	1	1	3	2	3	209	253	52	17	96.445702	email
5	1	1	3	2	4	271	253	77	17	96.653236	referred
5	1	1	3	2	5	356	254	18	16	96.880493	to
5	1	1	3	2	6	383	253	68	21	96.870010	repairs
5	1	1	3	2	7	459	253	127	21	96.833534	commencing
5	1	1	3	2	8	595	257	23	13	96.524330	on
5	1	1	3	2	9	627	253	107	21	96.584290	"Thursday,
5	1	1	3	2	10	744	253	10	17	93.285797	6
5	1	1	3	2	11	762	253	70	17	86.528313	June"a
5	1	1	3	2	12	839	253	43	17	97.009178	date
5	1	1	3	2	13	890	253	57	17	97.017990	which
5	1	1	3	2	14	956	252	35	18	96.999695	had
